Cygwin Package Information
Package                                 Version                          Status
java-xalan                              2.7.1-1                          OK
java-xerces2                            2.11.0-1                         OK
java-xml-commons-external               1.4.01-1                         OK
java-xmldb                              20011111-1                       OK
java-xmlgraphics-commons                1.4-1                            OK
jdk6-langtools                          1.6.0_33-1                       OK
jpeg                                    1.3.1-3                          OK
jsc3                                    2.0.4-3                          OK
kactivities                             4.13.3-1                         OK
kbproto                                 1.0.6-1                          OK
kde-baseapps                            4.14.3-1                         OK
kde-l10n-zh_CN                          4.14.3-1                         OK
kde-runtime                             4.14.3-4                         OK
kde-wallpapers                          4.14.3-1                         OK
kde-workspace                           4.11.16-1                        OK
kde4-kstyle-oxygen                      4.11.16-1                        OK
kdebase-runtime-data                    4.7.0-1                          OK
kdepasswd                               4.14.3-1                         OK
kdialog                                 4.14.3-1                         OK
keditbookmarks                          4.14.3-1                         OK
keepassx                                0.4.3-2                          OK
kfind                                   4.14.3-1                         OK
konqueror                               4.14.3-1                         OK
kplayer                                 0.7.2-1                          OK
krb5-server                             1.13.1-1                         OK
krb5-workstation                        1.13.1-1                         OK
krita                                   2.8.7-1                          OK
kwebkitpart                             1.3.4-2                          OK
kwin                                    4.11.16-1                        OK
lcab                                    1.0b12-1                         OK
leptonica                               1.71-2                           OK
less                                    458-2                            OK
lftp                                    4.6.1-2                          OK
liba52_0                                0.7.4-10                         OK
libaa1                                  1.4rc5-12                        OK
libAfterImage                           1.18-1                           OK
libAfterImage-devel                     1.18-1                           OK
libAfterImage0                          1.18-1                           OK
libakonadiprotocolinternals1            1.13.0-1                         OK
libamd-devel                            2.3.1-2                          OK
libamd0                                 2.3.1-2                          OK
libanthy-common                         9100h-2                          OK
libanthy0                               9100h-2                          OK
libappstream-glib1                      0.2.8-1                          OK
libapr1                                 1.4.8-1                          OK
libapr1-devel                           1.4.8-1                          OK
libapreq2_3                             2.13-2                           OK
libaprutil1                             1.5.4-1                          OK
libaprutil1-devel                       1.5.4-1                          OK
libarchive13                            3.1.2-2                          OK
libarchive2                             2.8.3-1                          OK
libargp                                 20110921-2                       OK
libarpack-devel                         3.2.0-1                          OK
libarpack0                              3.2.0-1                          OK
libasn1_8                               1.5.3-1                          OK
libaspell-devel                         0.60.6.1-3                       OK
libaspell15                             0.60.6.1-3                       OK
libasprintf0                            0.19.4-1                         OK
libass4                                 0.10.1-1                         OK
libassuan                               1.0.5-2                          OK
libassuan-devel                         1.0.5-2                          OK
libastro1                               4.14.3-1                         OK
libasyncns0                             0.8-1                            OK
libatk-bridge2.0_0                      2.14.1-1                         OK
libatk1.0-devel                         2.14.0-1                         OK
libatk1.0_0                             2.14.0-1                         OK
libatkmm1.6_1                           2.22.7-1                         OK
libatomic1                              4.9.2-3                          OK
libatspi0                               2.14.1-1                         OK
libattica0.4                            0.4.2-1                          OK
libattr1                                2.4.46-1                         OK
libaudio-devel                          1.9.3-1                          OK
libaudio2                               1.9.3-1                          OK
libaudiofile-devel                      0.3.6-1                          OK
libaudiofile0                           0.2.7-1                          OK
libaudiofile1                           0.3.6-1                          OK
libautotrace-devel                      0.31.1-16                        OK
libautotrace3                           0.31.1-16                        OK
libav-devel                             1.2.11-1                         OK
libavahi-client3                        0.6.31-2                         OK
libavahi-common3                        0.6.31-2                         OK
libavahi-glib1                          0.6.31-2                         OK
libavcodec54                            1.2.11-1                         OK
libavdevice54                           1.2.11-1                         OK
libavfilter3                            1.2.11-1                         OK
libavformat54                           1.2.11-1                         OK
libavutil52                             1.2.11-1                         OK
libbaloocore4                           4.14.3-1                         OK
libbaloowidgets4                        4.14.3-1                         OK
libblkid1                               2.25.2-2                         OK
libbluray1                              0.2.2-1                          OK
libboost-devel                          1.55.0-2                         OK
libboost1.50                            1.50.0-1                         OK
libboost1.53                            1.53.0-2                         OK
libboost_atomic1.55                     1.55.0-2                         OK
libboost_chrono1.55                     1.55.0-2                         OK
libboost_context1.55                    1.55.0-2                         OK
libboost_coroutine1.55                  1.55.0-2                         OK
libboost_date_time1.55                  1.55.0-2                         OK
libboost_filesystem1.55                 1.55.0-2                         OK
libboost_graph1.55                      1.55.0-2                         OK
libboost_iostreams1.55                  1.55.0-2                         OK
libboost_locale1.55                     1.55.0-2                         OK
libboost_log1.55                        1.55.0-2                         OK
libboost_math1.55                       1.55.0-2                         OK
libboost_program_options1.55            1.55.0-2                         OK
libboost_python-devel                   1.55.0-2                         OK
libboost_python1.50                     1.50.0-1                         OK
libboost_python1.53                     1.53.0-2                         OK
libboost_python1.55                     1.55.0-2                         OK
libboost_python3-devel                  1.55.0-2                         OK
libboost_python3_1.50                   1.50.0-1                         OK
libboost_python3_1.53                   1.53.0-2                         OK
libboost_python3_1.55                   1.55.0-2                         OK
libboost_random1.55                     1.55.0-2                         OK
libboost_regex1.55                      1.55.0-2                         OK
libboost_serialization1.55              1.55.0-2                         OK
libboost_signals1.55                    1.55.0-2                         OK
libboost_system1.55                     1.55.0-2                         OK
libboost_test1.55                       1.55.0-2                         OK
libboost_thread1.55                     1.55.0-2                         OK
libboost_timer1.55                      1.55.0-2                         OK
libboost_wave1.55                       1.55.0-2                         OK
libbs2b0                                3.1.0-1                          OK
libbz2-devel                            1.0.6-2                          OK
libbz2_1                                1.0.6-2                          OK
libcaca0                                0.99.beta19-1                    OK
libcairo-devel                          1.12.18-2                        OK
libcairo2                               1.12.18-2                        OK
libcairomm1.0_1                         1.10.0-2                         OK
libcamd-devel                           2.3.1-2                          OK
libcamd0                                2.3.1-2                          OK
libcanberra-gtk0                        0.30-1                           OK
libcanberra-gtk3_0                      0.30-1                           OK
libcanberra0                            0.30-1                           OK
libcatgets1                             1.1-2                            OK
libccolamd-devel                        2.8.0-2                          OK
libccolamd0                             2.8.0-2                          OK
libcdio14                               0.90-1                           OK
libcdio_cdda1                           10.2+0.90-1                      OK
libcdio_paranoia1                       10.2+0.90-1                      OK
libcdt5                                 2.38.0-4                         OK
libcelt0_2                              0.11.3-1                         OK
libcgraph6                              2.38.0-4                         OK
libcharset1                             1.14-3                           OK
libchm0                                 0.40-1                           OK
libcholmod-devel                        2.1.2-1                          OK
libcholmod0                             2.1.2-1                          OK
libchromaprint0                         0.7-1                            OK
libclang                                3.4.2-5                          OK
libclang-devel                          3.4.2-5                          OK
libclang-devel-static                   3.4.2-5                          OK
libcln6                                 1.3.3-1                          OK
libcloog-devel                          0.15.11-1                        OK
libcloog-isl-devel                      0.18.0-2                         OK
libcloog-isl4                           0.18.0-2                         OK
libcloog0                               0.15.11-1                        OK
libclucene-core1                        2.3.3.4-1                        OK
libclutter-gst2.0_0                     2.0.14-1                         OK
libcolamd-devel                         2.8.0-2                          OK
libcolamd0                              2.8.0-2                          OK
libcom_err-devel                        1.42.12-2                        OK
libcom_err2                             1.42.12-2                        OK
libcompface0                            1.5.2-12                         OK
libcroco0.6_3                           0.6.8-1                          OK
libcsiro0                               5.10.0-1                         OK
libct4                                  0.91.112-1                       OK
libcurl-devel                           7.41.0-1                         OK
libcurl3                                7.15.4-2                         OK
libcurl4                                7.41.0-1                         OK
libcxsparse-devel                       3.1.2-1                          OK
libcxsparse0                            3.1.2-1                          OK
